id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10168861,Central apartment with ocean view,40443458,Amanda,,Ward 77,-33.93549,18.43048,Entire home/apt,1407,1,0,,,1,0
10171027,"Twin bedroom, INSIDE   secure upmarket apart  ,",73475,Marcel,,Ward 59,-33.99087,18.46528,Private room,352,2,10,2019-03-28,0.29,1,352
10172879,Bright and Light in the City,8135771,Mary-Anne,,Ward 115,-33.92655,18.4153,Entire home/apt,647,2,64,2019-12-23,1.50,4,320
10174285,La Sal - Lorax,52237491,Thea,,Ward 64,-34.13476,18.42456,Entire home/apt,631,1,11,2019-04-14,0.23,2,356
10174761,Fully renovated apartment,9900730,Michael,,Ward 62,-34.00222,18.46801,Entire home/apt,1759,5,0,,,1,0
10180867,Trendy 1 bedroom in Gardens,48925819,Charles,,Ward 115,-33.92654,18.42304,Entire home/apt,1407,5,2,2016-01-05,0.04,2,358
10181180,"Modern, family home",52284170,Claire,,Ward 73,-34.03383,18.45649,Entire home/apt,3503,1,4,2019-02-12,0.08,1,331
10181346,Riverside Cottages -2 double bedded,51788136,Poppy,,Ward 62,-34.00996,18.44033,Entire home/apt,2105,2,0,,,2,365
10185898,"Light, Modern & Secure",52311391,Romy,,Ward 74,-34.04202,18.35739,Entire home/apt,982,3,85,2019-12-11,1.75,3,288
10187972,Urban Oasis. Secure Sea Point home w/pool,24610334,Tiffany,,Ward 54,-33.91386,18.39253,Entire home/apt,3532,2,103,2019-12-17,2.85,1,142
10188946,Kiters room/ kite beach,18277323,Johanni,,Ward 23,-33.81501,18.47291,Private room,449,2,6,2019-05-19,0.16,1,328
10196377,Modern And Spacious Contemporry Villa With The Most Awesome Ocean & Sunset Views,50572853,Oliver,,Ward 74,-34.00946,18.3478,Entire home/apt,16504,1,59,2018-12-03,1.22,1,296
10196600,"Direkt am See Zeekoevlei, Kapstadt",52378942,André,,Ward 67,-34.06344,18.50341,Private room,365,2,13,2018-11-14,0.28,3,183
10197478,Palmboom Loft,52383438,Anne,,Ward 59,-33.97409,18.45604,Entire home/apt,900,2,19,2019-08-01,0.40,2,302
10199009,Camps Bay Garden Suite,52392134,Vicky,,Ward 54,-33.95935,18.38305,Entire home/apt,999,3,36,2019-01-06,0.74,1,0
10199444,Stylish Garden Flat with Cats : 8 min to beach,52395029,Blaise & Cader,,Ward 55,-33.89741,18.48824,Entire home/apt,407,3,67,2019-12-08,1.54,2,326
10200111,Bachelors on Kloof Street.,24706335,Sean Khaya,,Ward 115,-33.93137,18.40753,Entire home/apt,703,1,1,2016-01-03,0.02,1,0
10205899,"Seaviews, modern and central",1327852,Gavin,,Ward 115,-33.90758,18.39554,Entire home/apt,1294,4,4,2019-04-16,0.41,1,100
10209764,Double room with ensuite bathroom in city centre,21205207,Barbara,,Ward 115,-33.92762,18.42158,Private room,478,2,26,2018-09-21,0.54,2,0
10212454,"Chez Belle
Self Catering",47483135,Isabelle,,Ward 73,-34.02608,18.4602,Entire home/apt,802,1,1,2016-12-29,0.03,1,364
10213036,497 @The Farm Village,18646416,Gail,,Ward 69,-34.09742,18.3798,Entire home/apt,3199,7,0,,,1,13
10214277,Cape Town City Center Cartwright Corner,33445401,Rayaan,,Ward 115,-33.9242,18.42134,Entire home/apt,900,4,4,2019-11-27,0.31,1,84
10214671,Renovated Home in Harfield Village,20389323,Angela,,Ward 58,-33.98525,18.47869,Entire home/apt,999,7,0,,,1,315
10214984,Atlantic Palms - Sand Dollar Apartment 3 Bedroom,30330837,Val,,Ward 4,-33.85583,18.49123,Entire home/apt,4502,1,1,2016-01-31,0.02,6,99
10215208,Atlantic Palms - Sunset Penthouse Luxury Apartment,30330837,Val,,Ward 4,-33.85571,18.49054,Entire home/apt,4995,1,0,,,6,326
10215368,Atlantic Palms - Atlantic Suite Apartment,30330837,Val,,Ward 4,-33.85585,18.49143,Entire home/apt,4502,1,3,2018-11-07,0.06,6,100
10215501,Atlantic Palms - Seashells Apartment,30330837,Val,,Ward 4,-33.85564,18.49051,Entire home/apt,4502,1,1,2017-11-17,0.04,6,102
